Episode,Consigli_Accettati
1,2
2,3
3,5
4,5
5,10
6,14
7,2
8,3
9,12
10,15
11,8
12,25
13,8
14,11
15,24
16,16
17,9
18,22
19,17
20,18
21,20
22,13
23,25
24,6
25,23
26,35
27,37
28,26
29,24
30,24
31,24
32,32
33,25
34,22
35,36
36,30
37,25
38,28
39,27
40,29
41,27
42,30
43,26
44,34
45,21
46,32
47,32
48,15
49,36
50,32
51,24
52,32
53,29
54,20
55,37
56,24
57,19
58,30
59,22
60,17
61,31
62,21
63,20
64,30
65,36
66,33
67,32
68,33
69,37
70,33
71,23
72,23
73,34
74,38
75,35
76,23
77,34
78,21
79,31
80,37
81,29
82,32
83,36
84,20
85,37
86,19
87,32
88,34
89,23
90,25
91,36
92,37
93,22
94,37
95,26
96,33
97,35
98,18
99,36
100,37
101,32
102,8
103,35
104,38
105,35
106,38
107,37
108,32
109,18
110,29
111,32
112,35
113,34
114,25
115,17
116,36
117,24
118,22
119,33
120,34
121,27
122,32
123,26
124,14
125,26
126,30
127,25
128,18
129,27
130,19
131,21
132,33
133,37
134,33
135,33
136,32
137,31
138,28
139,25
140,18
141,19
142,29
143,22
144,32
145,26
146,29
147,34
148,29
149,29
150,25
151,17
152,28
153,33
154,29
155,30
156,33
157,31
158,28
159,25
160,32
161,22
162,24
163,36
164,30
165,27
166,28
167,30
168,30
169,36
170,26
171,31
172,33
173,32
174,19
175,23
176,34
177,37
178,31
179,23
180,27
181,36
182,26
183,28
184,33
185,20
186,27
187,34
188,34
189,33
190,29
191,19
192,33
193,24
194,30
195,31
196,25
197,34
198,24
199,31
200,34
201,33
202,25
203,26
204,34
205,22
206,28
207,32
208,27
209,35
210,38
211,18
212,36
213,37
214,32
215,25
216,38
217,34
218,31
219,32
220,34
221,31
222,28
223,23
224,29
225,36
226,25
227,29
228,29
229,27
230,15
231,31
232,31
233,24
234,33
235,35
236,36
237,18
238,26
239,36
240,27
241,30
242,34
243,28
244,28
245,29
246,36
247,28
248,32
249,16
250,20
251,22
252,28
253,25
254,30
255,19
256,22
257,32
258,16
259,22
260,29
261,28
262,38
263,28
264,35
265,22
266,33
267,28
268,36
269,34
270,28
271,22
272,27
273,32
274,30
275,32
276,32
277,34
278,34
279,31
280,31
281,27
282,26
283,31
284,21
285,25
286,32
287,33
288,29
289,26
290,34
291,33
292,33
293,35
294,32
295,34
296,29
297,35
298,33
299,26
300,34
301,34
302,33
303,22
304,23
305,32
306,37
307,35
308,28
309,29
310,37
311,21
312,25
313,24
314,20
315,27
316,11
317,28
318,34
319,31
320,25
321,25
322,29
323,37
324,32
325,33
326,31
327,25
328,32
329,34
330,35
331,33
332,24
333,25
334,20
335,34
336,25
337,23
338,28
339,29
340,21
341,29
342,25
343,30
344,26
345,28
346,27
347,35
348,25
349,36
350,38
351,19
352,31
353,36
354,26
355,24
356,18
357,28
358,32
359,25
360,29
361,33
362,29
363,28
364,33
365,26
366,31
367,29
368,33
369,32
370,23
371,30
372,33
373,24
374,30
375,31
376,16
377,17
378,27
379,32
380,35
381,32
382,32
383,30
384,27
385,31
386,32
387,31
388,30
389,32
390,32
391,36
392,22
393,16
394,29
395,33
396,31
397,28
398,36
399,24
400,32
401,37
402,18
403,31
404,31
405,21
406,22
407,17
408,26
409,30
410,33
411,31
412,23
413,32
414,37
415,24
416,34
417,37
418,31
419,36
420,32
421,31
422,30
423,36
424,20
425,33
426,11
427,25
428,27
429,27
430,34
431,31
432,25
433,38
434,28
435,19
436,32
437,5
438,30
439,32
440,28
441,35
442,29
443,29
444,10
445,32
446,35
447,29
448,23
449,18
450,26
451,25
452,17
453,12
454,32
455,35
456,35
457,27
458,21
459,19
460,30
461,15
462,26
463,29
464,23
465,15
466,19
467,33
468,27
469,33
470,34
471,36
472,27
473,18
474,28
475,13
476,19
477,30
478,27
479,22
480,20
481,31
482,28
483,22
484,24
485,31
486,30
487,30
488,32
489,18
490,26
491,26
492,20
493,23
494,37
495,30
496,32
497,36
498,31
499,28
500,30
501,21
502,32
503,23
504,28
505,27
506,34
507,10
508,36
509,27
510,15
511,20
512,20
513,27
514,33
515,36
516,33
517,32
518,15
519,27
520,32
521,26
522,32
523,29
524,25
525,17
526,19
527,36
528,31
529,30
530,35
531,34
532,31
533,24
534,31
535,21
536,31
537,28
538,37
539,28
540,26
541,23
542,35
543,28
544,25
545,32
546,28
547,35
548,27
549,29
550,33
551,32
552,22
553,22
554,33
555,25
556,37
557,17
558,32
559,37
560,31
561,16
562,25
563,31
564,31
565,17
566,19
567,35
568,20
569,33
570,34
571,28
572,32
573,34
574,32
575,23
576,30
577,26
578,20
579,29
580,7
581,22
582,35
583,19
584,12
585,28
586,31
587,29
588,24
589,23
590,29
591,37
592,35
593,27
594,37
595,37
596,21
597,33
598,32
599,36
600,33
601,20
602,28
603,33
604,35
605,35
606,22
607,33
608,19
609,32
610,18
611,34
612,33
613,33
614,26
615,31
616,37
617,27
618,19
619,31
620,18
621,26
622,18
623,16
624,33
625,29
626,35
627,19
628,29
629,28
630,30
631,33
632,29
633,31
634,34
635,33
636,30
637,33
638,30
639,32
640,28
641,30
642,33
643,28
644,27
645,24
646,33
647,28
648,30
649,36
650,26
651,32
652,29
653,34
654,32
655,33
656,24
657,34
658,11
659,34
660,37
661,34
662,38
663,34
664,35
665,36
666,33
667,30
668,30
669,30
670,35
671,34
672,37
673,31
674,34
675,37
676,31
677,21
678,23
679,20
680,33
681,20
682,32
683,38
684,37
685,31
686,28
687,29
688,26
689,30
690,29
691,33
692,34
693,31
694,26
695,33
696,36
697,34
698,33
699,37
700,21
701,29
702,35
703,27
704,31
705,36
706,33
707,25
708,33
709,27
710,28
711,35
712,31
713,33
714,24
715,29
716,18
717,32
718,25
719,38
720,37
721,33
722,27
723,32
724,33
725,33
726,29
727,29
728,30
729,35
730,34
731,28
732,33
733,26
734,19
735,28
736,37
737,34
738,33
739,28
740,33
741,22
742,30
743,33
744,33
745,23
746,36
747,35
748,26
749,38
750,34
751,36
752,21
753,33
754,25
755,32
756,23
757,20
758,37
759,30
760,34
761,23
762,32
763,31
764,30
765,22
766,30
767,33
768,36
769,36
770,23
771,35
772,35
773,28
774,28
775,31
776,12
777,33
778,23
779,36
780,31
781,25
782,36
783,33
784,29
785,26
786,36
787,19
788,33
789,30
790,35
791,35
792,35
793,36
794,36
795,36
796,35
797,33
798,12
799,37
800,18
801,25
802,22
803,31
804,35
805,8
806,32
807,24
808,19
809,29
810,37
811,35
812,28
813,33
814,29
815,11
816,34
817,36
818,30
819,33
820,36
821,22
822,35
823,27
824,25
825,21
826,11
827,36
828,33
829,33
830,31
831,29
832,36
833,28
834,22
835,31
836,26
837,28
838,35
839,38
840,12
841,28
842,26
843,36
844,21
845,18
846,35
847,31
848,36
849,21
850,33
851,26
852,34
853,27
854,27
855,34
856,37
857,36
858,32
859,24
860,34
861,36
862,34
863,25
864,33
865,17
866,30
867,25
868,19
869,26
870,34
871,23
872,22
873,35
874,24
875,32
876,35
877,29
878,30
879,35
880,32
881,33
882,31
883,30
884,31
885,36
886,26
887,26
888,10
889,34
890,31
891,25
892,33
893,21
894,32
895,11
896,36
897,37
898,36
899,30
900,38
901,22
902,38
903,36
904,36
905,36
906,20
907,26
908,22
909,36
910,35
911,26
912,33
913,35
914,36
915,33
916,28
917,32
918,35
919,29
920,21
921,36
922,37
923,22
924,33
925,37
926,28
927,34
928,12
929,36
930,31
931,33
932,33
933,36
934,35
935,24
936,28
937,32
938,21
939,34
940,30
941,22
942,35
943,31
944,36
945,30
